mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.5936614036560058,0.012863989954551609,0.002311992645263672,0.004880839827826378,0.13,400,"{'learning_rate': np.float64(0.13), 'n_estimators': np.int64(400)}",0.6743057347690583,0.6530863058495369,0.5828705001077334,0.5650979060102443,0.4948549877759084,0.7457219193688056,0.397685364654916,0.7144881567686512,0.5336443596289011,0.7204382052306272,0.6082193440164383,0.10696402724402602,55,0.9711085480941802,0.9709639040187612,0.9702559459313901,0.9687823378363699,0.9688285151265048,0.9687500681903808,0.9693761680357096,0.969668982180151,0.9687895820662228,0.9696331446346935,0.9696157196114363,0.0008522103623165924
0.6533987283706665,0.013218222091784448,0.004015493392944336,0.006583676477360233,0.13,435,"{'learning_rate': np.float64(0.13), 'n_estimators': np.int64(435)}",0.6713588683117397,0.6526967242568884,0.5745182001544318,0.5639526886547577,0.49313438793665687,0.7454811089152878,0.3950847952522447,0.7112719415168791,0.5303919551301421,0.7156148354963399,0.6053505505625367,0.10709820166352069,57,0.9749757147567824,0.9745717194336682,0.9743637561066094,0.9734123205490655,0.9739941681641519,0.9732578406156838,0.9735072743430653,0.9729584048046009,0.9726075783931387,0.9728391873841402,0.9736487964550907,0.0007541873962434956
0.7156030893325805,0.006887760798152099,0.0037821054458618162,0.006387174447858836,0.13,470,"{'learning_rate': np.float64(0.13), 'n_estimators': np.int64(470)}",0.6713832732380024,0.6518269314901137,0.5725711700349171,0.5589443346253022,0.4916855920744029,0.7422799070164284,0.3945347286337182,0.7111635620406236,0.5286792873188781,0.7147362704846791,0.6037805056957066,0.1071804752067485,59,0.9777182528127051,0.9774173358949602,0.9774354581684217,0.9763502398255863,0.9772165426175924,0.9764399696102234,0.9765946828716946,0.9760643052303426,0.9765999539321716,0.9755430724303593,0.9767379813394056,0.0006556170289595242
0.0730508804321289,0.006343351211388667,0.0018455266952514648,0.004591992277502611,0.17,50,"{'learning_rate': np.float64(0.17), 'n_estimators': np.int64(50)}",0.7595347396567965,0.694132906016363,0.6250115357122159,0.6135648454641742,0.5333486913225125,0.7504263110891125,0.409372087061454,0.689020986627608,0.5863422286506605,0.7834411169560834,0.6444195448556982,0.10980088653003174,14,0.8483514481702592,0.8440214420263279,0.8442391521598369,0.8400664393851056,0.8495549666639932,0.8412722900561084,0.8523635150069852,0.8475212286056614,0.8517366552100283,0.8387849092370115,0.8457912046521319,0.004583448577151312
0.1457676649093628,0.017913200622435337,0.0006016969680786132,0.0012841847662168197,0.17,85,"{'learning_rate': np.float64(0.17), 'n_estimators': np.int64(85)}",0.7424256361739897,0.6927897974937195,0.6020040128723652,0.6090883478202935,0.5296463804339331,0.7547150490292807,0.42474940314868226,0.6739880217663384,0.5836658139573844,0.7673504932709572,0.6380422955966943,0.10385366167114667,24,0.8894456843642695,0.8883334595572677,0.8871484814742705,0.8799571518756206,0.8849568585347591,0.8862548274221116,0.8869837005578968,0.8865544556174476,0.8906742430487226,0.8808975267240376,0.8861206389176403,0.0032452921358711393
0.18812479972839355,0.0057511882948927985,0.0003385782241821289,0.0006913153023164429,0.17,120,"{'learning_rate': np.float64(0.17), 'n_estimators': np.int64(120)}",0.7260781328634747,0.6897392630451704,0.5583306996777149,0.604398397450157,0.5281533068464921,0.7549929313095709,0.42310411363536726,0.6543944954987739,0.5712226557032385,0.7415202203649389,0.6251934216394898,0.10180825242184227,39,0.9145797852171477,0.9145374759177162,0.9130438967839676,0.9056987617771081,0.9157350499147228,0.9091434929812154,0.9138283541228555,0.9150680670059482,0.9143890684051158,0.9133124990555243,0.912933645118132,0.002957514381218742
0.2409977436065674,0.021900984149524093,0.0024918556213378907,0.004828404190027842,0.17,155,"{'learning_rate': np.float64(0.17), 'n_estimators': np.int64(155)}",0.7012841008205535,0.6779310517337502,0.5402273806846666,0.5943110123542136,0.49901635091209107,0.7491909402490609,0.41780899351460754,0.6494571665124758,0.5598047192276505,0.737430525230536,0.6126462241239605,0.10340966914089446,52,0.9324107503591507,0.9337980300972397,0.9308669048723456,0.9252048480721355,0.9324807906529269,0.9286355681477675,0.9321893643762574,0.9305874836657154,0.931337548552267,0.9339778991533367,0.9311489187949145,0.002480902653993959
0.29165990352630616,0.013501845700937525,0.0019585132598876954,0.0049449841383688254,0.17,190,"{'learning_rate': np.float64(0.17), 'n_estimators': np.int64(190)}",0.6839733069779108,0.6663917742584973,0.5134477596323428,0.5784290865961061,0.4898730667303812,0.7517424786872504,0.41438976820242646,0.648760529841156,0.5544776613679454,0.7348247612459562,0.6036310193539973,0.10560142225541623,60,0.9447768103085877,0.9469406055592926,0.9441052727665041,0.9405638912305987,0.9458707777718953,0.944557622875187,0.9456307952651973,0.9445508040106714,0.944577808267838,0.9465613636217662,0.9448135751677539,0.0016768289298774157
0.34007742404937746,0.01119766669159846,0.0015735864639282227,0.004720759391784668,0.17,225,"{'learning_rate': np.float64(0.17), 'n_estimators': np.int64(225)}",0.6677274213487014,0.6621982216157182,0.5118144100310598,0.5755182446963427,0.4839905829231741,0.749654848881239,0.40931792776202913,0.6453891190236426,0.5471178578708764,0.7286537562354118,0.5981382390388196,0.10508087782721513,65,0.9537180808803593,0.9566235610560773,0.9553985213091333,0.9507563206706179,0.9546140526027632,0.9549024882067492,0.9546202528462397,0.9559379973963035,0.9563541073376408,0.956895835423203,0.9549821217729088,0.0017045238015285162
0.3920713186264038,0.0068906215448127734,0.00047180652618408205,0.0007930233924835903,0.17,260,"{'learning_rate': np.float64(0.17), 'n_estimators': np.int64(260)}",0.6598902278893904,0.6511115053633865,0.5089658407736728,0.569902932239659,0.4711768789797228,0.7468154066082424,0.41309645903120207,0.6436699305482101,0.5436148202874327,0.7235744345201316,0.593181843624105,0.10409970720093589,69,0.9627080949218236,0.9632069708727871,0.9630805470185969,0.9599860003421709,0.9622722825138735,0.9631498524144555,0.9626541975824672,0.9632983823530118,0.9637230980202133,0.9636632601306964,0.9627742686170097,0.0010214012569935184
